Optimizer,Subspace,Opset,HP_Idx,TestAcc1,TestAcc5
sdarts,deep,no_skip,3,84.35000004882812,99.34
fairdarts,deep,all_skip,3,85.12999995117187,99.43
drnas,deep,regular,4,88.79999998779297,99.65
sdarts,wide,all_skip,7,83.72999998779297,99.31
sdarts,deep,regular,7,78.35999991455078,98.73999989013672
darts,deep,all_skip,3,86.22999991455079,99.54
darts,wide,no_skip,7,84.3999999633789,99.28
oles,single_cell,all_skip,4,88.41999993896485,99.59
drnas,single_cell,no_skip,4,88.36999992675781,99.57
pcdarts,wide,regular,8,85.86999992675781,99.45
fairdarts,single_cell,no_skip,4,85.74999986572266,99.46
darts,deep,regular,4,88.13,99.59
darts,single_cell,regular,7,73.23,98.27999998779296
darts,wide,regular,4,90.25999991455078,99.7
oles,single_cell,no_skip,4,80.21000006103516,98.97999989013672
sdarts,single_cell,regular,7,77.32,98.75000004882811
darts,single_cell,no_skip,7,69.94000004882813,97.85999993896483
fairdarts,deep,no_skip,2,86.40999996337891,99.43
pcdarts,deep,regular,6,74.99999997558594,98.43
fairdarts,wide,all_skip,3,88.38999990234375,99.66
gdas,deep,no_skip,5,86.53999991455078,99.46000004882812
drnas,single_cell,all_skip,5,89.22999995117188,99.63
drnas,single_cell,regular,5,88.16000004882812,99.54
oles,single_cell,regular,5,84.08999991455079,99.29
oles,wide,no_skip,5,91.16000001220704,99.75
fairdarts,deep,regular,5,90.85000002441406,99.78000004882811
gdas,single_cell,all_skip,3,85.90000001220703,99.42
gdas,wide,no_skip,2,90.20999986572264,99.74
gdas,wide,all_skip,2,90.20999997558594,99.65
gdas,wide,regular,2,89.62999986572265,99.66000004882812
gdas,deep,regular,2,87.91999985351562,99.63
drnas,single_cell,no_skip,3,87.71999997558594,99.53
drnas,wide,no_skip,3,90.17999995117188,99.7
drnas,wide,all_skip,3,88.24999985351562,99.72
drnas,deep,no_skip,2,87.78999987792969,99.60000004882812
drnas,deep,all_skip,2,86.58000003662109,99.50000004882811
drnas,deep,regular,3,87.89999998779297,99.48000004882812
fairdarts,single_cell,no_skip,3,85.12999991455078,99.31
oles,single_cell,no_skip,3,79.52999996337891,99.00000004882811
darts,single_cell,no_skip,6,70.21999997558594,97.84999993896484
sdarts,wide,all_skip,6,83.35999989013672,99.2
pcdarts,wide,all_skip,6,84.25999997558594,99.4
pcdarts,wide,regular,7,84.58000001220704,99.35
sdarts,deep,all_skip,3,79.78000002441406,98.84999989013671
sdarts,deep,regular,6,78.35000006103516,98.79999989013672
sdarts,single_cell,all_skip,6,76.6499999633789,98.59000004882812
oles,single_cell,all_skip,3,86.82999986572266,99.44
darts,wide,all_skip,6,78.7,98.91000004882812
fairdarts,wide,no_skip,3,89.3,99.71
darts,wide,no_skip,6,84.08000001220704,99.3
darts,single_cell,all_skip,6,79.77999996337891,98.99000004882812
sdarts,wide,no_skip,6,83.70999993896484,99.35
pcdarts,wide,no_skip,6,84.8399999633789,99.39
darts,single_cell,regular,6,73.01,98.22999993896484
sdarts,single_cell,regular,6,76.08999990234375,98.62999989013672
fairdarts,wide,regular,3,88.99,99.69
oles,wide,regular,3,89.44000002441406,99.59
darts,wide,regular,3,89.34999991455078,99.70000004882812
sdarts,deep,no_skip,2,84.91999997558594,99.34
pcdarts,deep,no_skip,2,82.25999998779297,99.17
darts,deep,regular,3,87.06999989013671,99.62
oles,deep,no_skip,2,86.52999989013672,99.52
darts,deep,no_skip,2,85.73999991455078,99.48
fairdarts,deep,all_skip,2,84.92999985351562,99.38000004882812
oles,deep,all_skip,2,83.99999989013672,99.38000004882812
darts,deep,all_skip,2,85.83999991455079,99.29999989013672
pcdarts,deep,regular,5,90.02999991455079,99.75
gdas,single_cell,all_skip,2,87.06999992675782,99.6
fairdarts,wide,all_skip,2,88.79999995117187,99.58
drnas,wide,all_skip,2,88.28000004882813,99.65
sdarts,deep,all_skip,2,79.60999990234374,98.83999998779296
drnas,wide,no_skip,2,89.94000002441406,99.65
gdas,single_cell,no_skip,5,87.00999992675781,99.49
pcdarts,wide,all_skip,5,91.65999986572264,99.74
drnas,single_cell,no_skip,2,87.93000002441406,99.58
drnas,deep,regular,2,88.41999990234375,99.45
oles,deep,regular,2,88.69999990234375,99.56
sdarts,deep,regular,5,87.72999989013672,99.65
sdarts,wide,all_skip,5,90.54999985351564,99.8
sdarts,single_cell,no_skip,5,85.57000002441406,99.38000004882812
gdas,deep,no_skip,4,85.31999995117188,99.39
drnas,single_cell,all_skip,4,88.53000004882813,99.53000004882811
drnas,single_cell,regular,4,87.17999987792969,99.43
sdarts,single_cell,all_skip,5,84.49999993896485,99.24
oles,single_cell,all_skip,2,86.52999987792968,99.45
drnas,wide,regular,4,90.4099999267578,99.63
darts,wide,all_skip,5,87.01999993896484,99.51
fairdarts,deep,regular,4,89.82000002441406,99.67
fairdarts,single_cell,no_skip,2,84.92999985351562,99.37
pcdarts,single_cell,no_skip,4,88.18999990234374,99.64
oles,single_cell,no_skip,2,79.22000002441406,98.99000004882812
darts,single_cell,all_skip,5,87.00000004882813,99.54
pcdarts,wide,no_skip,5,91.43999997558592,99.81
darts,single_cell,no_skip,5,72.33999997558594,98.09999993896484
darts,deep,regular,2,86.59999992675782,99.51
sdarts,wide,no_skip,5,90.98999991455078,99.75
fairdarts,wide,no_skip,2,89.18999998779297,99.73
oles,wide,regular,2,89.48999991455078,99.59
pcdarts,single_cell,all_skip,4,88.67999998779297,99.67
darts,wide,no_skip,5,91.04999991455078,99.79
fairdarts,wide,regular,2,89.40999996337891,99.72
gdas,wide,no_skip,1,88.61999993896484,99.74
fairdarts,single_cell,regular,4,88.33999993896484,99.6
oles,wide,no_skip,4,90.5699999633789,99.71
sdarts,wide,regular,4,89.15999995117187,99.68
pcdarts,single_cell,regular,4,89.15999990234376,99.64
oles,single_cell,regular,4,83.69999987792968,99.14
pcdarts,wide,regular,5,90.92999991455078,99.74
darts,wide,regular,2,89.04999993896485,99.58000004882813
gdas,wide,all_skip,1,88.10999996337891,99.51
gdas,deep,regular,1,85.49000001220703,99.40999989013672
sdarts,single_cell,regular,5,82.98,99.29
darts,single_cell,regular,5,77.76999998779297,98.78000004882811
gdas,wide,regular,1,88.25999993896484,99.58
pcdarts,deep,all_skip,1,82.00999998779297,99.22
drnas,deep,all_skip,1,81.99999998779298,99.13000004882812
drnas,deep,no_skip,1,83.83999989013672,99.35000004882812
gdas,single_cell,all_skip,1,85.36999985351562,99.44
gdas,single_cell,no_skip,4,86.3399999633789,99.43
drnas,single_cell,no_skip,1,86.05999990234375,99.44000004882813
drnas,wide,all_skip,1,86.54,99.55
oles,deep,no_skip,1,82.41999998779296,99.13
fairdarts,deep,all_skip,1,81.39999993896484,99.08000004882813
drnas,wide,no_skip,1,88.08000004882813,99.56
sdarts,deep,no_skip,1,78.02999991455079,98.75000004882811
darts,deep,no_skip,1,81.5599999633789,99.07999989013672
oles,deep,all_skip,1,79.46999993896485,98.88999989013672
fairdarts,wide,all_skip,1,86.40999997558593,99.46
pcdarts,deep,no_skip,1,76.05999986572266,98.58999993896484
pcdarts,deep,regular,4,88.2,99.66
darts,deep,all_skip,1,82.5,99.3
drnas,deep,regular,1,85.98999997558593,99.49
